2026-04-15 15:38:01 ERROR - method=GET, uri=/accounts/1002/statements/2026-04, status=500, durationMs=176
2026-04-15 15:55:54 ERROR - method=GET, uri=/accounts, status=500, durationMs=22
2026-04-15 15:58:25 ERROR - method=POST, uri=/api/auth/register, status=422, durationMs=19
2026-04-15 16:00:33 ERROR - method=GET, uri=/api/customers, status=403, durationMs=8
2026-04-15 16:00:50 ERROR - method=PATCH, uri=/api/customers/2, status=403, durationMs=12
2026-04-15 16:04:46 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=1
2026-04-15 16:04:46 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=0
2026-04-15 16:05:25 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-04-15 16:05:25 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=0
2026-04-15 16:05:36 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-04-15 16:05:36 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=0
2026-04-15 16:06:03 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=0
2026-04-15 16:06:03 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-04-15 16:06:50 ERROR - method=GET, uri=/accounts/1001, status=401, durationMs=5
2026-04-15 16:07:19 ERROR - method=PATCH, uri=/api/customers/1, status=403, durationMs=3
2026-04-15 16:07:56 ERROR - method=GET, uri=/accounts/1001/transactions?startDate=2026-04-01&endDate=2026-04-15, status=500, durationMs=16
2026-04-15 16:08:11 ERROR - method=GET, uri=/accounts/1003/transactions?startDate=2026-04-01&endDate=2026-04-15, status=500, durationMs=6
2026-04-15 16:08:15 ERROR - method=GET, uri=/accounts/1001/transactions?startDate=2026-04-01&endDate=2026-04-15, status=500, durationMs=17
2026-04-15 16:09:43 ERROR - method=GET, uri=/accounts/1001/standing-orders, status=500, durationMs=13
2026-04-15 16:10:36 ERROR - method=POST, uri=/accounts/1001/standing-orders, status=500, durationMs=16
2026-04-15 16:10:53 ERROR - method=GET, uri=/accounts/1001/statements/2026-04, status=500, durationMs=0
2026-04-15 16:11:26 ERROR - method=GET, uri=/accounts/1000/insights?year=2026&month=4, status=500, durationMs=14
2026-04-15 16:37:44 ERROR - method=GET, uri=/accounts/1001/transactions?startDate=2026-04-01&endDate=2026-04-15, status=500, durationMs=3
